title:2311110_01_default, start timestamp:1699596038.374778, stop timestamp:1699596100.083044, headset type:EPOCX, headset serial:E502066F, headset firmware:720, channels:125, sampling rate:eeg_128;pow_8, samples:7904      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1699596038.374778,1699596038.375069,106.000000,0.000000,4284.743652,4268.846191,4287.563965,4288.717773,4267.563965,4251.922852,4264.487305,4266.666504,4247.948730,4246.410156,4437.051270,4445.769043,4327.563965,4394.487305,5921.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.382587,1699596038.382977,107.000000,0.000000,4274.230957,4279.358887,4281.410156,4277.179688,4264.743652,4255.256348,4264.871582,4263.461426,4251.025879,4248.846191,4427.820313,4437.692383,4324.615234,4377.051270,5672.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,3.262486,1.728186,0.275643,0.379140,0.314153,4.059355,1.008126,0.860158,0.785099,0.668368,1.240180,0.625871,0.184962,0.264952,0.175045,1.515638,0.609383,0.316994,0.839696,0.677900,0.583360,0.576010,0.502561,0.788033,0.635276,0.534668,0.413166,0.141641,0.137236,0.196018,0.631344,0.651321,0.385751,0.221094,0.303620,0.799318,0.750823,0.511201,0.250914,0.212944,1.180023,0.672922,0.444989,0.179520,0.183339,0.950540,0.316705,0.601882,0.357514,0.560200,1.481035,1.538948,0.630440,0.599681,0.326416,1.842752,1.489885,0.388343,0.509717,0.304695,1.330670,1.201835,0.391241,0.315663,0.335675,2.594803,1.463222,0.257938,0.575282,0.330433
1699596038.390395,1699596038.390785,108.000000,0.000000,4268.974121,4249.743652,4280.641113,4261.538574,4258.077148,4261.538574,4260.128418,4256.153809,4248.717773,4249.487305,4423.205078,4424.743652,4317.820313,4368.205078,6666.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.398203,1699596038.398493,109.000000,0.000000,4269.743652,4240.256348,4282.436035,4273.077148,4255.641113,4263.205078,4265.128418,4258.333496,4248.589844,4250.769043,4431.922852,4433.589844,4318.077148,4379.102539,6359.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.406011,1699596038.406302,110.000000,0.000000,4278.205078,4257.820313,4295.000000,4291.538574,4258.717773,4262.179688,4270.128418,4261.153809,4248.974121,4248.846191,4445.769043,4455.897461,4332.051270,4397.307617,5921.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.413819,1699596038.414010,111.000000,0.000000,4288.846191,4268.333496,4302.948730,4298.717773,4269.102539,4264.871582,4271.025879,4260.641113,4247.563965,4247.692383,4451.025879,4461.538574,4340.128418,4405.256348,5672.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.421628,1699596038.421818,112.000000,0.000000,4290.000000,4265.769043,4298.974121,4290.897461,4279.743652,4273.333496,4275.897461,4267.436035,4249.615234,4252.820313,4446.153809,4454.487305,4330.256348,4397.051270,6666.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.429436,1699596038.429526,113.000000,0.000000,4282.563965,4255.512695,4297.436035,4274.358887,4282.692383,4277.436035,4277.692383,4267.179688,4247.820313,4254.487305,4440.128418,4446.666504,4322.820313,4384.230957,6359.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.437244,1699596038.437334,114.000000,0.000000,4274.615234,4251.538574,4296.025879,4274.358887,4273.461426,4268.974121,4273.846191,4253.077148,4236.153809,4245.512695,4433.589844,4440.256348,4326.282227,4382.436035,5921.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.445052,1699596038.445042,115.000000,0.000000,4264.358887,4248.717773,4290.512695,4285.000000,4266.282227,4262.436035,4275.512695,4248.717773,4227.436035,4236.410156,4428.333496,4438.333496,4321.153809,4385.256348,5672.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.452860,1699596038.452850,116.000000,0.000000,4252.692383,4234.230957,4276.410156,4273.846191,4261.153809,4265.641113,4278.717773,4252.563965,4228.589844,4234.615234,4424.230957,4431.153809,4310.000000,4377.820313,6666.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.460669,1699596038.460558,117.000000,0.000000,4251.666504,4236.153809,4270.641113,4260.128418,4248.461426,4265.512695,4273.333496,4247.436035,4228.717773,4230.384766,4418.333496,4421.666504,4306.666504,4364.615234,6359.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.468477,1699596038.468366,118.000000,0.000000,4255.128418,4239.487305,4281.153809,4264.102539,4255.128418,4261.794922,4268.461426,4244.615234,4226.922852,4224.487305,4415.256348,4423.461426,4305.256348,4360.897461,5921.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.476285,1699596038.476074,119.000000,0.000000,4252.692383,4219.487305,4279.230957,4260.000000,4281.410156,4263.846191,4267.692383,4253.077148,4235.128418,4232.820313,4420.769043,4430.256348,4305.128418,4365.769043,5672.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596038.484093,1699596038.483982,120.000000,0.000000,4253.205078,4227.051270,4276.282227,4260.000000,4271.410156,4262.307617,4260.384766,4260.897461,4246.666504,4243.461426,4429.230957,4435.512695,4310.769043,4371.153809,6666.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
