title:231110_02_default, start timestamp:1699596218.361920, stop timestamp:1699596280.070220, headset type:EPOCX, headset serial:E502066F, headset firmware:720, channels:125, sampling rate:eeg_128;pow_8, samples:7904      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1699596218.361920,1699596218.362689,117.000000,0.000000,4285.384766,4266.410156,4299.871582,4244.871582,4284.743652,4277.948730,4279.102539,4271.538574,4266.666504,4256.794922,4460.000000,4466.794922,4357.948730,4407.948730,6539.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596218.369728,1699596218.370397,118.000000,0.000000,4291.538574,4273.077148,4303.974121,4250.128418,4273.717773,4277.436035,4278.717773,4268.077148,4262.692383,4254.358887,4450.512695,4467.307617,4355.256348,4411.794922,5925.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596218.377536,1699596218.378306,119.000000,0.000000,4298.589844,4280.384766,4309.487305,4259.615234,4270.512695,4278.589844,4280.000000,4268.717773,4260.384766,4247.307617,4457.563965,4468.461426,4352.051270,4416.794922,5768.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596218.385344,1699596218.386114,120.000000,0.000000,4305.000000,4282.820313,4308.461426,4265.256348,4278.974121,4279.615234,4284.230957,4276.922852,4265.000000,4251.922852,4460.897461,4472.436035,4357.307617,4413.461426,6674.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596218.393152,1699596218.393923,121.000000,0.000000,4301.282227,4281.410156,4303.974121,4263.974121,4271.410156,4280.000000,4289.230957,4282.436035,4273.205078,4262.307617,4458.974121,4473.205078,4360.641113,4413.589844,6539.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596218.400961,1699596218.401731,122.000000,0.000000,4291.666504,4279.102539,4305.897461,4259.230957,4267.179688,4281.666504,4285.000000,4279.487305,4277.179688,4263.846191,4463.461426,4473.205078,4359.230957,4422.820313,5925.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596218.408769,1699596218.409639,123.000000,0.000000,4293.205078,4277.179688,4308.589844,4259.487305,4275.000000,4277.307617,4272.563965,4273.461426,4270.384766,4255.897461,4462.692383,4474.230957,4356.666504,4422.563965,5768.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,100.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,9.611341,2.722578,0.863138,0.680735,0.193662,7.506039,1.727368,0.811723,0.653153,0.408293,2.571068,1.359380,0.456391,0.450628,0.197357,3.373356,1.291299,0.860891,0.524480,0.500617,1.005045,0.442789,0.230627,0.415671,0.296795,0.274871,0.145693,0.393921,0.127628,0.193672,0.336187,0.655324,0.324798,0.177417,0.208184,0.379311,1.220791,0.592126,0.407626,0.237557,0.473036,1.452468,0.993044,0.468024,0.199029,0.418702,0.726570,0.535162,0.794292,0.340610,1.241134,2.159838,0.227043,0.771422,0.304473,1.823748,2.488757,0.196525,0.754058,0.276745,3.103108,2.685938,0.635772,0.832520,0.270814,5.135596,3.022616,0.744299,0.636698,0.246433
1699596218.416577,1699596218.417447,124.000000,0.000000,4300.897461,4281.922852,4311.153809,4265.128418,4275.641113,4272.692383,4271.025879,4272.563965,4268.846191,4255.128418,4465.641113,4478.717773,4359.487305,4419.102539,6674.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596218.424385,1699596218.425355,125.000000,0.000000,4306.153809,4287.179688,4313.717773,4265.256348,4277.051270,4276.410156,4278.589844,4280.512695,4279.743652,4264.615234,4477.051270,4485.384766,4368.589844,4424.615234,6539.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699596218.432193,1699596218.433164,126.000000,0.000000,4309.743652,4288.077148,4314.102539,4260.512695,4285.128418,4278.846191,4277.692383,4282.692383,4277.692383,4266.794922,4472.307617,4486.025879,4371.538574,4427.051270,5925.000000,4.000000,90.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
